CODIGO INMUEBLE;ESTADO;NOMBRE SEDE;DIRECCIÓN SEDE;TELÉFONO FIJO;TELÉFONO MÓVIL;POBLACIÓN;PROVINCIA;ACTIVIDAD;AMBITO;ÁREA;"ENLACE PRAL
AMT 2012";"ADM
PRAL";"BW
PRAL";"ENLACE BACKUP
AMT 2012";"ADM
BACKUP";BW BACKUP;"ENLACE PRAL
AMT 2018";"ADM
PRAL";"BW
PRAL";"ENLACE BACKUP
AMT 2018";"ADM
BACKUP";BW BACKUP;MIGRACIÓN;CODIGO HOSTNAME;AMBITO;NEMONICO;CRITICIDAD SERVICIO;DISP.;CARPETA;MON.;DOC.;ESQ.
2338;ALTA;C.P.E.P.A. Cuenca Minera - Muniesa;C/ Extension Agraria s/n;978810532;0;Muniesa;Teruel;C.P.E.P.A. Cuenca Minera - Muniesa;EDUCACIÓN;;;;;;;;;;;;;;;T-MUN2338-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2339;ALTA;C.R.A. Matarranya - Calaceite;Avda. de Aragon 2-4;978851339;0;Calaceite;Teruel;C.R.A. Matarranya - Calaceite;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-CAL2339-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2340;ALTA;C.R.A. Matarranya - Mazaleon;C/ Cortes de Aragon s/n;978898858;0;Mazaleon;Teruel;C.R.A. Matarranya - Mazaleon;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-MAZ2340-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2341;ALTA;C.R.A. Matarranya - Valdeltormo;C/ Mayor 33;978858250;0;Valdeltormo;Teruel;C.R.A. Matarranya - Valdeltormo;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-VAL2341-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2342;ALTA;C.R.A. Cuna del Jiloca - Santa Eulalia;C/ España 10;978860779;0;Santa Eulalia;Teruel;C.R.A. Cuna del Jiloca - Santa Eulalia;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-SAN2342-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2343;ALTA;C.R.A. Cuna del Jiloca - Villarquemado;C/ Larga s/n;978867245;0;Villarquemado;Teruel;C.R.A. Cuna del Jiloca - Villarquemado;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-VIL2343-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2344;ALTA;I.E.S. Damian Forment - Alcorisa;C/ Miguel de Cervantes s/n;978840734;0;Alcorisa;Teruel;I.E.S. Damian Forment - Alcorisa;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-ALC2344-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2345;ALTA;I.E.S. Valle del Guadalope - Calanda;Paseo Alcañiz s/n;978846002;0;Calanda;Teruel;I.E.S. Valle del Guadalope - Calanda;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-CAL2345-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2346;ALTA;I.E.S. Gudar-Javalambre - Mora de Rubielos;Avda. Ibañez Martin s/n, Planta bajo;978800409;0;Mora de Rubielos;Teruel;I.E.S. Gudar-Javalambre - Mora de Rubielos;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-MOR2346-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2347;ALTA;I.E.S. Sierra Palomera - Cella;C/ Partida El Carro s/n;978653312;0;Cella;Teruel;I.E.S. Sierra Palomera - Cella;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-CEL2347-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2348;ALTA;C.R.A. Algars - Arens de Lledo;C/ Cretas s/n;978853130;0;Arens de Lledo;Teruel;C.R.A. Algars - Arens de Lledo;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-ARE2348-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2349;ALTA;C.R.A. Algars - Beceite;C/ San Roque 8;978850553;0;Beceite;Teruel;C.R.A. Algars - Beceite;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-BEC2349-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2350;ALTA;C.R.A. Algars - Cretas;C/ Jardin de la Corona de Aragon s/n;978890473;0;Cretas;Teruel;C.R.A. Algars - Cretas;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-CRE2350-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2351;ALTA;C.R.A. Algars - Lledo;C/ San Roque s/n;978891925;0;Lledo;Teruel;C.R.A. Algars - Lledo;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-LLE2351-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2352;ALTA;C.R.A. Campo Bello - Bello;C/ El Perillan s/n;978734159;0;Bello;Teruel;C.R.A. Campo Bello - Bello;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-BEL2352-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2353;ALTA;C.R.A. Campo Bello - Odon;C/ Escuelas s/n;978736895;0;Odon;Teruel;C.R.A. Campo Bello - Odon;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-ODO2353-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2354;ALTA;C.R.A. Campo Bello - Tornos;C/ Pilar Moreno 31;978734062;0;Tornos;Teruel;C.R.A. Campo Bello - Tornos;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-TOR2354-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2355;ALTA;C.R.A. Campo Bello - Torralba de los Sisones;C/ Escuelas s/n;978862641;0;Torralba de los Sisones;Teruel;C.R.A. Campo Bello - Torralba de los Sisones;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-TOR2355-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2356;ALTA;C.R.A. Campo Bello - Gallocanta;Plaza San Pedro s/n;976803129;0;Gallocanta;Zaragoza;C.R.A. Campo Bello - Gallocanta;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-GAL2356-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2357;ALTA;C.R.A. El Poyo del Cid - Baguena;C/ Estacion s/n;978733332;0;Baguena;Teruel;C.R.A. El Poyo del Cid - Baguena;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-BAG2357-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2358;ALTA;C.R.A. El Poyo del Cid - Barrachina;Ctra. s/n;978732800;0;Barrachina;Teruel;C.R.A. El Poyo del Cid - Barrachina;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-BAR2358-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2359;ALTA;C.R.A. El Poyo del Cid - Cutanda;C/ Mayor s/n;0;0;Cutanda;Teruel;C.R.A. El Poyo del Cid - Cutanda;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-CUT2359-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2360;ALTA;C.R.A. El Poyo del Cid - Poyo del Cid (El);C/ San Miguel 26;978731504;0;El Poyo del Cid;Teruel;C.R.A. El Poyo del Cid - Poyo del Cid (El);EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-EL 2360-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2361;ALTA;I.E.S. Bajo Aragon - Alcañiz;C/ Jose Pardo Sastron s/n;978831063;0;Alcañiz;Teruel;I.E.S. Bajo Aragon - Alcañiz;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-ALC2361-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2362;ALTA;C.R.A. Turia - Riodeva;C/ Escuelas 9;978784201;0;Riodeva;Teruel;C.R.A. Turia - Riodeva;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-RIO2362-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2363;ALTA;Secc. I.E.S. Segundo de Chomon - Cantavieja;Avda. Maestrazgo 5;964185110;0;Cantavieja;Teruel;Secc. I.E.S. Segundo de Chomon - Cantavieja;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-CAN2363-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2364;ALTA;I.E.S. Albarracin - Albarracin;Camino de Gea 19;978710215;0;Albarracin;Teruel;I.E.S. Albarracin - Albarracin;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-ALB2364-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2365;ALTA;C.P.E.P.A. de Andorra - Andorra;C/ Escuelas 10;978880454;0;Andorra;Teruel;C.P.E.P.A. de Andorra - Andorra;EDUCACIÓN;;;;;;;;;;;;;;;T-AND2365-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2366;ALTA;Ext. E.O.I. de Teruel - Monreal del Campo;C/ Gonzalo de Liria 2;978863511;0;Monreal del Campo;Teruel;Ext. E.O.I. de Teruel - Monreal del Campo;EDUCACIÓN;;;;;;;;;;;;;;;T-MON2366-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2367;ALTA;Ext. E.O.I. de Teruel - Utrillas;C/ Miguel Servet 4;978758363;0;Utrillas;Teruel;Ext. E.O.I. de Teruel - Utrillas;EDUCACIÓN;;;;;;;;;;;;;;;T-UTR2367-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2368;ALTA;Ext. E.O.I. de Teruel - Calamocha;Avda. Zaragoza 42;978730137;0;Calamocha;Teruel;Ext. E.O.I. de Teruel - Calamocha;EDUCACIÓN;;;;;;;;;;;;;;;T-CAL2368-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2369;ALTA;E.S.D. de Teruel - Teruel;Plaza de la Catedral 8;978602635;0;Teruel;Teruel;E.S.D. de Teruel - Teruel;EDUCACIÓN;;;;;;;;;;;;;;;T-TER2369-;-;-;ESTANDAR;12X5;;mon;doc;esq
2370;ALTA;C.E.I.P. Juan Sobrarias - Alcañiz;C/ Morella s/n;978834035;0;Alcañiz;Teruel;C.E.I.P. Juan Sobrarias - Alcañiz;EDUCACIÓN;TEREUL;;;;;;;;;;;;;;T-ALC2370-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2371;ALTA;A.C.E.P.A. Ariño - Ariño;C/ Teruel 17;0;0;Ariño;Teruel;A.C.E.P.A. Ariño - Ariño;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-ARI2371-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2372;ALTA;A.C.E.P.A. Hijar - Hijar;C/ Bajada de San Antonio s/n;0;0;Hijar;Teruel;A.C.E.P.A. Hijar - Hijar;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-HIJ2372-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2373;ALTA;A.C.E.P.A. la Puebla de Hijar - Puebla de Hijar (La);Plaza España 1;0;0;La Puebla de Hijar;Teruel;A.C.E.P.A. la Puebla de Hijar - Puebla de Hijar (La);EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-LA 2373-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2374;ALTA;A.C.E.P.A. Samper de Calanda - Samper de Calanda;Camino Escuela s/n;0;0;Samper de Calanda;Teruel;A.C.E.P.A. Samper de Calanda - Samper de Calanda;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-SAM2374-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2375;ALTA;G.I. Santo Angel Custodio - Alcañiz;Avda. Aragon s/n;978870960;0;Alcañiz;Teruel;G.I. Santo Angel Custodio - Alcañiz;EDUCACIÓN;;;;;;;;;;;;;;;T-ALC2375-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2376;ALTA;C.P.R. de Alcañiz - Alcañiz;C/ Jose Pardo Sastron 1 1 A;978832803;0;Alcañiz;Teruel;C.P.R. de Alcañiz - Alcañiz;EDUCACIÓN;;;;;;;;;;;;;;;T-ALC2376-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2377;ALTA;C.P.R. de Teruel - Teruel;C/ Ciudad Escolar s/n;978618460;0;Teruel;Teruel;C.P.R. de Teruel - Teruel;EDUCACIÓN;;;;;;;;;;;;;;;T-TER2377-;-;-;ESTANDAR;12X5;;mon;doc;esq
2378;ALTA;C.P.R. de Utrillas - Utrillas;Avda. Sres. Baselga 14;978758062;0;Utrillas;Teruel;C.P.R. de Utrillas - Utrillas;EDUCACIÓN;;;;;;;;;;;;;;;T-UTR2378-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2379;ALTA;E.O.E.P. Equipo General de Orientacion Ed. y Ps. - Alcañiz;C/ Las Monjas 17;978832881;0;Alcañiz;Teruel;E.O.E.P. Equipo General de Orientacion Ed. y Ps. - Alcañiz;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-ALC2379-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2380;ALTA;E.O.E.P. Equipo General de Orientacion Ed. y Ps. - Cantavieja;Ctra. de la Iglesuela s/n;964185208;0;Cantavieja;Teruel;E.O.E.P. Equipo General de Orientacion Ed. y Ps. - Cantavieja;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-CAN2380-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2381;ALTA;E.O.E.P. Equipo General de Orientacion Ed. y Ps. - Teruel;C/ Miguel Servet 2;978602693;0;Teruel;Teruel;E.O.E.P. Equipo General de Orientacion Ed. y Ps. - Teruel;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-TER2381-;-;-;ESTANDAR;12X5;;mon;doc;esq
2382;ALTA;E.O.E.P. Equipo General de Orientacion Ed. y Ps. - Utrillas;Avda. Sres. Baselga s/n;978758355;0;Utrillas;Teruel;E.O.E.P. Equipo General de Orientacion Ed. y Ps. - Utrillas;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-UTR2382-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2383;ALTA;E.O.E.P. Equipo General de Orientacion Ed. y Ps. - Andorra;C/ San Isidro Labrador 2;978843478;0;Andorra;Teruel;E.O.E.P. Equipo General de Orientacion Ed. y Ps. - Andorra;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-AND2383-;-;-;;;;mon;doc;esq
2384;ALTA;E.O.E.P. Equipo General de Orientacion Ed. y Ps. - Calamocha;C/ Melchor de Luzon 6;978730597;0;Calamocha;Teruel;E.O.E.P. Equipo General de Orientacion Ed. y Ps. - Calamocha;EDUCACIÓN;TERUEL;;;;;;;;;;;;;;T-CAL2384-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2385;ALTA;E.A.T. Equipo Atencion Temprana - Utrillas;Avda. Sres. Baselga s/n;978758056;0;Utrillas;Teruel;E.A.T. Equipo Atencion Temprana - Utrillas;EDUCACIÓN;;;;;;;;;;;;;;;T-UTR2385-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2386;ALTA;C.P.R. de Andorra - Andorra;Paseo Las Minas s/n, Planta 2ª;978842144;0;Andorra;Teruel;C.P.R. de Andorra - Andorra;EDUCACIÓN;;;;;;;;;;;;;;;T-AND2386-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2387;ALTA;C.P.R. de Calamocha - Calamocha;C/ Melchor de Luzon 6;978730598;0;Calamocha;Teruel;C.P.R. de Calamocha - Calamocha;EDUCACIÓN;;;;;;;;;;;;;;;T-CAL2387-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2388;ALTA;C.R.I.E. Alcorisa - Alcorisa;Plaza del Seminario 1;978840503;0;Alcorisa;Teruel;C.R.I.E. Alcorisa - Alcorisa;EDUCACIÓN;;;;;;;;;;;;;;;T-ALC2388-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2389;ALTA;C.R.I.E. Albarracin - Albarracin;Camino de Gea s/n;978710153;0;Albarracin;Teruel;C.R.I.E. Albarracin - Albarracin;EDUCACIÓN;;;;;;;;;;;;;;;T-ALB2389-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2390;ALTA;C.R.I.E. Calamocha - Calamocha;Avda. Aragon 35;978732308;0;Calamocha;Teruel;C.R.I.E. Calamocha - Calamocha;EDUCACIÓN;;;;;;;;;;;;;;;T-CAL2390-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2391;ALTA;C.E.I.P. Aragon - Alagon;Avda. de la Jarea s/n;976611354;0;Alagon;Zaragoza;C.E.I.P. Aragon - Alagon;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ALA2391-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2392;ALTA;I.E.S. Conde Aranda - Alagon;Avda. de la Portalada 22;976616080;0;Alagon;Zaragoza;I.E.S. Conde Aranda - Alagon;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ALA2392-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2393;ALTA;C.E.I.P. Brianda de Luna - Alfajarin;C/ la Portaza 50;976100135;0;Alfajarin;Zaragoza;C.E.I.P. Brianda de Luna - Alfajarin;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ALF2393-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2394;ALTA;C.E.I.P. Arzobispo Domenech - Almonacid de la Sierra;C/ San Nicolas de Tolentino 2;976627002;0;Almonacid de la Sierra;Zaragoza;C.E.I.P. Arzobispo Domenech - Almonacid de la Sierra;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ALM2394-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2395;ALTA;C.E.I.P. Nertobriga - Almunia de Doña Godina, La;Avda. Laviaga Castillo 14;976812199;0;La Almunia de Doña Godina;Zaragoza;C.E.I.P. Nertobriga - Almunia de Doña Godina, La;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-LA 2395-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2396;ALTA;C.E.I.P. Ramon y Cajal - Alpartir;Camino Almonacid s/n;976813001;0;Alpartir;Zaragoza;C.E.I.P. Ramon y Cajal - Alpartir;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ALP2396-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2397;ALTA;C.E.I.P. Virgen de la Peana - Ateca;Plaza del Meson 8;976842069;0;Ateca;Zaragoza;C.E.I.P. Virgen de la Peana - Ateca;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ATE2397-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2398;ALTA;C.E.I.P. Belia - Belchite;C/ El Ferial 6;976830316;0;Belchite;Zaragoza;C.E.I.P. Belia - Belchite;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-BEL2398-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2399;ALTA;C.E.I.P. Campo de Borja - Borja;C/ Ramon y Cajal 2;976867217;0;Borja;Zaragoza;C.E.I.P. Campo de Borja - Borja;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-BOR2399-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2400;ALTA;I.E.S. Juan de Lanuza - Borja;C/ Capuchinos 1;976867368;0;Borja;Zaragoza;I.E.S. Juan de Lanuza - Borja;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-BOR2400-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2401;ALTA;C.E.I.P. Diputacion Provincial - Brea de Aragon;C/ Cayo Vela 7;976824096;0;Brea de Aragon;Zaragoza;C.E.I.P. Diputacion Provincial - Brea de Aragon;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-BRE2401-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2402;ALTA;C.E.I.P. Baltasar Gracian - Calatayud;Ctra. de Valencia s/n;976881652;0;Calatayud;Zaragoza;C.E.I.P. Baltasar Gracian - Calatayud;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-CAL2402-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2403;ALTA;C.E.I.P. Francisco de Goya - Calatayud;C/ Santander-Mediterraneo s/n;976882696;0;Calatayud;Zaragoza;C.E.I.P. Francisco de Goya - Calatayud;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-CAL2403-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2404;ALTA;C.E.I.P. Salvador Minguijon - Calatayud;C/ Puerta de Soria 35;976881671;0;Calatayud;Zaragoza;C.E.I.P. Salvador Minguijon - Calatayud;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-CAL2404-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2405;ALTA;I.E.S. Leonardo de Chabacier - Calatayud;Paseo San Nicolas de Francia 10;976881015;0;Calatayud;Zaragoza;I.E.S. Leonardo de Chabacier - Calatayud;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-CAL2405-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2406;ALTA;I.E.S. Emilio Jimeno;C/ Rio Perejiles 2;976881009;0;Calatayud;Zaragoza;I.E.S. Emilio Jimeno;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-CAL2406-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2407;ALTA;C.E.I.P. Domingo Jimenez Beltran - Calatorao;Avda. Bruno Solano s/n;976607367;0;Calatorao;Zaragoza;C.E.I.P. Domingo Jimenez Beltran - Calatorao;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-CAL2407-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2408;ALTA;C.E.I.P. Santo Cristo de Santiago - Cariñena;C/ Saint Pierre de Oleron 12;976620896;0;Cariñena;Zaragoza;C.E.I.P. Santo Cristo de Santiago - Cariñena;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-CAR2408-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2409;ALTA;I.E.S. Joaquin Costa - Cariñena;Avda. del Ejercito s/n;976620120;0;Cariñena;Zaragoza;I.E.S. Joaquin Costa - Cariñena;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-CAR2409-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2410;ALTA;C.E.I.P. Compromiso de Caspe - Caspe;Plaza Compromiso 12;976630569;0;Caspe;Zaragoza;C.E.I.P. Compromiso de Caspe - Caspe;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-CAS2410-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2411;ALTA;C.E.I.P. Lucio Fabio Severo - Chiprana;C/ Lucio Fabio Severo s/n;976637250;0;Chiprana;Zaragoza;C.E.I.P. Lucio Fabio Severo - Chiprana;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-CHI2411-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2412;ALTA;C.E.I.P. Pedro Sanchez Ciruelo - Daroca;C/ Barranco Luzbel s/n;976800879;0;Daroca;Zaragoza;C.E.I.P. Pedro Sanchez Ciruelo - Daroca;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-DAR2412-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2413;ALTA;E.H. Puerta de Zaragoza - Daroca;C/ Cortes de Aragon 13;976800233;0;Daroca;Zaragoza;E.H. Puerta de Zaragoza - Daroca;EDUCACIÓN;;;;;;;;;;;;;;;Z-DAR2413-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2414;ALTA;C.E.I.P. Cervantes - Ejea de los Caballeros;Paseo Constitucion 38-40;976661511;0;Ejea de los Caballeros;Zaragoza;C.E.I.P. Cervantes - Ejea de los Caballeros;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-EJE2414-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2415;ALTA;C.E.I.P. Ferrer y Racaj - Ejea de los Caballeros;C/ Alegria s/n;976662766;0;Ejea de los Caballeros;Zaragoza;C.E.I.P. Ferrer y Racaj - Ejea de los Caballeros;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-EJE2415-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2416;ALTA;I.E.S. Reyes Catolicos - Ejea de los Caballeros;Ctra. de Erla s/n;976660645;0;Ejea de los Caballeros;Zaragoza;I.E.S. Reyes Catolicos - Ejea de los Caballeros;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-EJE2416-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2417;ALTA;C.E.I.P. Gaspar Remiro - epila;C/ Ronda Diputacion s/n;976603990;0;epila;Zaragoza;C.E.I.P. Gaspar Remiro - epila;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-EPI2417-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2418;ALTA;C.E.I.P. San Javier - Escatron;C/ Plano de San Javier s/n;976170095;0;Escatron;Zaragoza;C.E.I.P. San Javier - Escatron;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ESC2418-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2419;ALTA;C.E.I.P. Ntra. Sra. del Pilar - Fayon;C/ Heno s/n;976635692;0;Fayon;Zaragoza;C.E.I.P. Ntra. Sra. del Pilar - Fayon;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-FAY2419-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2420;ALTA;C.E.I.P. Luis Garcia Sainz - Fuentes de Ebro;C/ Agustina de Aragon 1;976160101;0;Fuentes de Ebro;Zaragoza;C.E.I.P. Luis Garcia Sainz - Fuentes de Ebro;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-FUE2420-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2421;ALTA;C.E.I.P. Maria Dominguez - Gallur;C/ Miguel Servet s/n;976864845;0;Gallur;Zaragoza;C.E.I.P. Maria Dominguez - Gallur;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-GAL2421-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2422;ALTA;C.E.I.P. San Jorge - Herrera de los Navarros;C/ Reves 43;976143106;0;Herrera de los Navarros;Zaragoza;C.E.I.P. San Jorge - Herrera de los Navarros;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-HER2422-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2423;ALTA;C.E.I.P. Benedicto XIII - Illueca;C/ San Babil s/n;976820227;0;Illueca;Zaragoza;C.E.I.P. Benedicto XIII - Illueca;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ILL2423-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2424;ALTA;C.E.I.P. Ramon y Cajal - Joyosa (La);Plaza de España 1;976651155;0;La Joyosa;Zaragoza;C.E.I.P. Ramon y Cajal - Joyosa (La);EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-LA 2424-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2425;ALTA;C.E.I.P. Virgen del Portal - Maella;Plaza de Zaragoza 38;976638065;0;Maella;Zaragoza;C.E.I.P. Virgen del Portal - Maella;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-MAE2425-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2426;ALTA;C.E.I.P. Manlia - Mallen;C/ Miraflores s/n;976850394;0;Mallen;Zaragoza;C.E.I.P. Manlia - Mallen;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-MAL2426-;-;-;ES. REMOTO;12X5;;mon;doc;esq
2427;ALTA;C.E.I.P. Maria Quintana - Mequinenza;Ctra. de Fraga s/n;974464270;0;Mequinenza;Zaragoza;C.E.I.P. Maria Quintana - Mequinenza;EDUCACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-MEQ2427-;-;-;ES. REMOTO;12X5;;mon;doc;esq
